District_ID,Without a computer,Income in the past 12 months below poverty level,Education Below Bachelors Degree,Public health insurance alone,Median income ($),Households Receiving SNAP,2024 Primary Turnout (Registered Voters),2024 Primary Turnout (Eligible Voters),Diff of Eligible and Registered Turnout,Political Career Length of Incumbent
001,6.00%,10.50%,66.60%,22.40%,"85,122",18.40%,51.30%,57.84%,-6.54%,1.2
002,4.60%,14.00%,63.50%,19.00%,"78,260",18.20%,49.50%,56.01%,-6.51%,1.3
003,8.00%,15.90%,77.40%,27.90%,"73,277",27.60%,58.80%,47.05%,11.75%,8.3
004,2.10%,21.50%,75.20%,34.40%,"57,007",25.40%,62.50%,53.50%,9.00%,5.3
005,6.10%,15.50%,75.00%,32.90%,"63,656",23.60%,62.10%,54.60%,7.50%,5.3
006,2.40%,8.50%,58.00%,24.10%,"92,181",6.00%,62.30%,56.30%,6.00%,3.3
007,2.40%,12.90%,70.10%,27.30%,"98,570",12.80%,54.70%,53.40%,1.30%,13.3
008,3.80%,9.00%,63.90%,22.90%,"93,638",9.30%,58.10%,61.05%,-2.95%,7.3
009,7.00%,9.60%,75.30%,14.90%,"97,326",8.90%,65.30%,43.10%,22.20%,13.1
010,3.80%,5.80%,67.60%,13.10%,"107,885",8.90%,63.40%,59.37%,4.03%,2.2
011,2.70%,8.50%,63.80%,19.20%,"88,408",7.70%,59.70%,54.33%,5.37%,3.3
012,3.60%,9.60%,66.30%,20.10%,"100,604",9.80%,62.00%,61.92%,0.08%,22.2
013,4.70%,12.80%,70.20%,29.30%,"91,926",15.00%,63.60%,55.07%,8.53%,3.3
014,3.70%,8.60%,71.20%,20.70%,"105,701",12.30%,66.90%,45.31%,21.59%,3.3
015,3.40%,8.80%,67.70%,28.20%,"90,067",10.90%,61.10%,56.00%,5.10%,9.3
016,2.20%,7.70%,69.70%,21.90%,"100,819",10.80%,64.80%,56.30%,8.50%,3
017,3.40%,9.10%,72.40%,25.90%,"100,637",12.30%,67.10%,58.37%,8.73%,15.3
018,1.20%,3.80%,41.60%,9.00%,"154,919",2.40%,51.80%,71.39%,-19.59%,0.7
019,2.80%,6.70%,38.30%,12.20%,"157,182",1.00%,54.00%,69.68%,-15.68%,15.3
020,3.60%,7.50%,49.70%,15.10%,"114,920",6.90%,49.60%,54.59%,-4.99%,1.3
021,4.30%,9.10%,52.70%,17.00%,"122,500",7.90%,60.50%,56.11%,4.39%,5.3
022,3.20%,9.20%,40.90%,12.10%,"105,487",6.30%,58.10%,55.28%,2.82%,3.3
023,7.00%,15.00%,62.50%,18.90%,"65,875",11.60%,58.80%,38.96%,19.84%,1.3
024,3.60%,12.40%,52.20%,17.60%,"74,554",6.00%,54.80%,47.30%,7.50%,5.3
025,4.00%,8.90%,45.10%,15.00%,"91,651",7.50%,59.00%,53.55%,5.45%,1.3
026,4.30%,11.20%,53.30%,19.50%,"75,389",10.80%,59.90%,48.30%,11.60%,19.3
027,6.30%,7.70%,54.50%,14.90%,"108,438",7.50%,69.30%,54.74%,14.56%,3.3
028,8.80%,20.60%,75.80%,33.40%,"57,784",24.80%,70.70%,33.60%,37.10%,13.3
029,4.10%,7.70%,75.70%,25.00%,"118,510",18.30%,47.50%,36.05%,11.45%,1.3
030,3.60%,8.30%,75.40%,24.20%,"90,180",19.30%,63.80%,26.34%,37.46%,1.3
031,2.40%,8.40%,65.60%,14.30%,"93,309",10.20%,68.40%,29.83%,38.57%,15.3
032,3.60%,7.30%,65.10%,12.20%,"98,889",6.00%,57.80%,38.14%,19.66%,1.3
033,5.70%,4.70%,54.50%,9.90%,"127,333",4.80%,56.70%,59.08%,-2.38%,11.3
034,4.30%,5.80%,66.10%,13.00%,"109,028",8.00%,45.20%,47.27%,-2.07%,13.3
035,6.20%,7.30%,72.50%,16.90%,"107,485",9.30%,58.30%,46.55%,11.75%,3.3
036,5.50%,9.40%,79.40%,21.90%,"115,741",23.70%,51.90%,30.00%,21.90%,7.3
037,2.90%,3.00%,58.30%,9.50%,"125,534",4.30%,49.60%,64.54%,-14.94%,3
038,1.50%,2.90%,53.30%,10.80%,"133,504",6.10%,67.50%,60.16%,7.34%,13.3
039,0.80%,5.00%,67.50%,13.10%,"124,229",8.80%,61.10%,51.43%,9.67%,3.3
040,3.30%,5.10%,71.70%,16.70%,"128,826",13.30%,57.00%,44.38%,12.62%,1.3
041,0.90%,4.50%,61.30%,13.50%,"137,950",6.80%,57.80%,41.09%,16.71%,3.3
042,1.70%,7.50%,76.70%,23.40%,"110,463",19.40%,67.60%,45.07%,22.53%,3.3
043,2.10%,5.60%,64.00%,13.30%,"122,684",10.10%,66.90%,47.43%,19.47%,3.3
044,3.00%,12.10%,81.00%,26.60%,"102,378",22.20%,66.90%,39.33%,27.57%,3.3
045,7.30%,16.40%,83.70%,36.10%,"78,145",31.80%,66.40%,38.09%,28.31%,1.3
046,3.50%,8.40%,73.60%,17.40%,"87,350",11.20%,71.30%,28.40%,42.90%,7.3
047,1.80%,11.60%,68.00%,20.60%,"91,236",11.30%,71.60%,45.18%,26.42%,9.3
048,2.50%,6.40%,55.60%,13.70%,"141,881",5.90%,63.10%,58.84%,4.26%,7.3
049,3.30%,10.50%,62.40%,18.00%,"125,104",12.50%,65.30%,50.71%,14.59%,7.3
050,2.60%,5.10%,51.40%,11.60%,"119,619",4.60%,47.20%,46.85%,0.35%,1.3
051,1.20%,6.30%,55.10%,15.30%,"150,532",10.00%,55.90%,58.25%,-2.35%,5.3
